"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Reviewer #2 (Public review): Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/reviewer-2-public-review-neural-dynamics-of-reversal-7231sv0x8mci","2024","Journal Article","","","10.7554/elife.103660.1.sa1","","In probabilistic reversal learning, the choice option yielding reward at higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. In this study, we investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that neural trajectories encoding reversal probability had substantial dynamics associated with intervening behaviors necessary to perform the task. Furthermore, the neural trajectories were translated systematically in response to whether outcomes were rewarded, and their position in the neural subspace captured information about reward outcomes. These findings suggested that separable dynamic trajectories, instead of fixed points on a line attractor, provided a better description of neural representation of reversal probability. Near the behavioral reversal, in particular, the trajectories shifted monotonically across trials with stable ordering, representing varying estimates of reversal probability around the reversal point. Perturbing the neural trajectory of trained networks biased when the reversal trial occurred, showing the role of reversal probability activity in decision-making. In sum, our study shows that cortical neurons encode reversal probability in a family of dynamic neural trajectories that accommodate flexible behavior while maintaining separability to represent distinct probabilistic values. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding dynamic trajectories that encode reversal probability, accommodating flexible behavior while maintaining separability to represent distinct probabilistic values."
"Reviewer #1 (Public review): Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/reviewer-1-public-review-neural-dynamics-of-reversal-4jevft8so48m","2024","Journal Article","","","10.7554/elife.103660.1.sa2","","In probabilistic reversal learning, the choice option yielding reward at higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. In this study, we investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that neural trajectories encoding reversal probability had substantial dynamics associated with intervening behaviors necessary to perform the task. Furthermore, the neural trajectories were translated systematically in response to whether outcomes were rewarded, and their position in the neural subspace captured information about reward outcomes. These findings suggested that separable dynamic trajectories, instead of fixed points on a line attractor, provided a better description of neural representation of reversal probability. Near the behavioral reversal, in particular, the trajectories shifted monotonically across trials with stable ordering, representing varying estimates of reversal probability around the reversal point. Perturbing the neural trajectory of trained networks biased when the reversal trial occurred, showing the role of reversal probability activity in decision-making. In sum, our study shows that cortical neurons encode reversal probability in a family of dynamic neural trajectories that accommodate flexible behavior while maintaining separability to represent distinct probabilistic values. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding dynamic trajectories that encode reversal probability, accommodating flexible behavior while maintaining separability to represent distinct probabilistic values."
"Neural correlates of rules and conflict in medial prefrontal cortex during decision and feedback epochs","https://scispace.com/paper/neural-correlates-of-rules-and-conflict-in-medial-prefrontal-2lit3ofrmt","2015","Journal Article","Frontiers in Behavioral Neuroscience","Gregory B. Bissonette
Matthew R. Roesch","10.3389/FNBEH.2015.00266","https://scispace.com/pdf/neural-correlates-of-rules-and-conflict-in-medial-prefrontal-2lit3ofrmt.pdf","The ability to properly adjust behavioral responses to cues in a changing environment is crucial for survival. Activity in the medial Prefrontal Cortex (mPFC) is thought to both represent rules to guide behavior as well as detect and resolve conflicts between rules in changing contingencies. However, while lesion and pharmacological studies have supported a crucial role for mPFC in this type of set-shifting, an understanding of how mPFC represents current rules or detects and resolves conflict between different rules is unclear. Here, we directly address the role of rat mPFC in shifting rule based behavioral strategies using a novel behavioral task designed to tease apart neural signatures of rules, conflict and direction. We demonstrate that activity of single neurons in rat mPFC represent distinct rules. Further, we show increased firing on high conflict trials in a separate population of mPFC neurons. Reduced firing in both populations of neurons was associated with poor performance. Moreover, activity in both populations increased and decreased firing during the outcome epoch when reward was and was not delivered on correct and incorrect trials, respectively. In addition, outcome firing was modulated by the current rule and the degree of conflict associated with the previous decision. These results promote a greater understanding of the role that mPFC plays in switching between rules, signaling both rule and conflict to promote improved behavioral performance.","It is demonstrated that activity of single neurons in rat mPFC represent distinct rules, and activity in both populations increased and decreased firing during the outcome epoch when reward was and was not delivered on correct and incorrect trials, respectively."
"Reviewer #3 (Public review): Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/reviewer-3-public-review-neural-dynamics-of-reversal-3yfpbhopismi","2024","Journal Article","","","10.7554/elife.103660.1.sa0","","In probabilistic reversal learning, the choice option yielding reward at higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. In this study, we investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that neural trajectories encoding reversal probability had substantial dynamics associated with intervening behaviors necessary to perform the task. Furthermore, the neural trajectories were translated systematically in response to whether outcomes were rewarded, and their position in the neural subspace captured information about reward outcomes. These findings suggested that separable dynamic trajectories, instead of fixed points on a line attractor, provided a better description of neural representation of reversal probability. Near the behavioral reversal, in particular, the trajectories shifted monotonically across trials with stable ordering, representing varying estimates of reversal probability around the reversal point. Perturbing the neural trajectory of trained networks biased when the reversal trial occurred, showing the role of reversal probability activity in decision-making. In sum, our study shows that cortical neurons encode reversal probability in a family of dynamic neural trajectories that accommodate flexible behavior while maintaining separability to represent distinct probabilistic values. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding dynamic trajectories that encode reversal probability, accommodating flexible behavior while maintaining separability to represent distinct probabilistic values."
"Integrated neural dynamics for behavioral decisions and attentional control in the prefrontal cortex","https://scispace.com/paper/integrated-neural-dynamics-for-behavioral-decisions-and-56lvf42vi8","2021","Posted Content","bioRxiv","Yaara Erez
Mikiko Kadohisa
Philippe Petrov
Natasha Sigala
Natasha Sigala
Mark J. Buckley
Makoto Kusunoki
John S. Duncan
John S. Duncan","10.1101/2020.05.06.080325","https://scispace.com/pdf/integrated-neural-dynamics-for-behavioral-decisions-and-56lvf42vi8.pdf","Complex neural dynamics in the prefrontal cortex contribute to context-dependent decisions and attentional competition. To analyze these dynamics, we apply demixed principal component analysis to activity of a primate prefrontal cell sample recorded in a cued target detection task. The results track dynamics of cue and object coding, feeding into movements along a target present-absent decision axis in a low-dimensional subspace of population activity. For a single stimulus, object and cue coding are seen mainly in the contralateral hemisphere. Later, a developing decision code in both hemispheres may reflect interhemispheric communication. With a target in one hemifield and a competing nontarget in the other, each hemisphere initially encodes the contralateral object, but finally, decision coding is dominated by the task-relevant target. These findings further suggest that exchange of information between hemispheres plays a key role when attentional competition resolves. Tracking complex neural events in a low-dimensional activity subspace illuminates integration of neural codes towards task-appropriate behavior, comprising a building block of learned task structure in the prefrontal cortex. AUTHOR SUMMARY Flexible adaptive processing of information is integral for everyday goal-directed behavior. To unravel dynamic representation of task-relevant information, we analyzed population activity of a primate prefrontal cell sample in a cued target detection task. In a low-dimensional neural subspace, with separate axes for cue, object identity and decision, trajectories showed initial coding of cue and object in the contralateral hemisphere, followed by coding of the behavioral decision across both hemispheres. With target and nontarget stimuli in opposite hemifields, the data suggest initial coding of the contralateral object in each hemisphere. Object coding is then rapidly shut off for the nontarget, and followed by bilateral coding of the target decision. The results bring detailed insight into task structure and information flow within and between the two frontal lobes as a decision is made and attentional competition is resolved.","In this paper, the authors apply demixed principal component analysis (PCA) to activity of a primate prefrontal cell sample recorded in a cued target detection task to track dynamics of cue and object coding, feeding into movements along a target present-absent decision axis in a lowdimensional subspace of population activity."
"Neural Correlates of Strategy Switching in the Macaque Orbital Prefrontal Cortex","https://scispace.com/paper/neural-correlates-of-strategy-switching-in-the-macaque-24mbi261m1","2020","Journal Article","The Journal of Neuroscience","V. Fascianelli
Lorenzo Ferrucci
Satoshi Tsujimoto
Aldo Genovesio","10.1523/JNEUROSCI.1969-19.2020","https://www.jneurosci.org/content/jneuro/40/15/3025.full.pdf","We can adapt flexibly to environment changes and search for the most appropriate rule to a context. The orbital prefrontal cortex (PFo) has been associated with decision making, rule generation and maintenance, and more generally has been considered important for behavioral flexibility. To better understand the neural mechanisms underlying the flexible behavior, we studied the ability to generate a switching signal in monkey PFo when a strategy is changed. In the strategy task, we used a visual cue to instruct two male rhesus monkeys either to repeat their most recent choice (i.e., stay strategy) or to change it (i.e., shift strategy). To identify the strategy switching-related signal, we compared nonswitch and switch trials, which cued the same or a different strategy from the previous trial, respectively. We found that the switching-related signal emerged during the cue presentation and it was combined with the strategy signal in a subpopulation of cells. Moreover, the error analysis showed that the activity of the switch-related cells reflected whether the monkeys erroneously switched or not the strategy, rather than what was required for that trial. The function of the switching signal could be to prompt the use of different strategies when older strategies are no longer appropriate, conferring the ability to adapt flexibly to environmental changes. In our task, the switching signal might contribute to the implementation of the strategy cued, overcoming potential interference effects from the strategy previously cued. Our results support the idea that ascribes to PFo an important role for behavioral flexibility.SIGNIFICANCE STATEMENT We can flexibly adapt our behavior to a changing environment. One of the prefrontal areas traditionally associated with the ability to adapt to new contingencies is the orbital prefrontal cortex (PFo). We analyzed the switching related activity using a strategy task in which two rhesus monkeys were instructed by a visual cue either to repeat or change their most recent choice, respectively using a stay or a shift strategy. We found that PFo neurons were modulated by the strategy switching signal, pointing to the importance of PFo in behavioral flexibility by generating control over the switching of strategies.","It is found that PFo neurons were modulated by the strategy switching signal, pointing to the importance of PFo in behavioral flexibility by generating control over the switching of strategies."
"eLife Assessment: Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/elife-assessment-neural-dynamics-of-reversal-learning-in-the-6fwngbfu6ytb","2024","Journal Article","","Rui Ponte Costa","10.7554/elife.103660.1.sa3","","In probabilistic reversal learning, the choice option yielding reward at higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. In this study, we investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that neural trajectories encoding reversal probability had substantial dynamics associated with intervening behaviors necessary to perform the task. Furthermore, the neural trajectories were translated systematically in response to whether outcomes were rewarded, and their position in the neural subspace captured information about reward outcomes. These findings suggested that separable dynamic trajectories, instead of fixed points on a line attractor, provided a better description of neural representation of reversal probability. Near the behavioral reversal, in particular, the trajectories shifted monotonically across trials with stable ordering, representing varying estimates of reversal probability around the reversal point. Perturbing the neural trajectory of trained networks biased when the reversal trial occurred, showing the role of reversal probability activity in decision-making. In sum, our study shows that cortical neurons encode reversal probability in a family of dynamic neural trajectories that accommodate flexible behavior while maintaining separability to represent distinct probabilistic values. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding dynamic trajectories that encode reversal probability, accommodating flexible behavior while maintaining separability to represent distinct probabilistic values."
"Optimal level of human intracranial theta activity for behavioral switching in the subthalamo-medio-prefrontal circuit","https://scispace.com/paper/optimal-level-of-human-intracranial-theta-activity-for-70e6kqio8wxf","2024","Journal Article","Nature Communications","Maëva Laquitaine
Mircea Polosan
Philippe Kahane
Stéphan Chabardès
Jérôme Yelnik
Sara Fernández-Vidal
Philippe Domenech
Julien Bastin","10.1038/s41467-024-52290-w","","The ability to switch between rules associating stimuli and responses depend on a circuit including the dorsomedial prefrontal cortex (dmPFC) and the subthalamic nucleus (STN). However, the precise neural implementations of switching remain unclear. To address this issue, we recorded local field potentials from the STN and from the dmPFC of neuropsychiatric patients during behavioral switching. Drift-diffusion modeling revealed that switching is associated with a shift in the starting point of evidence accumulation. Theta activity increases in dmPFC and STN during successful switch trials, while temporally delayed and excessive levels of theta lead to premature switch errors. This seemingly opposing impact of increased theta in successful and unsuccessful switching is explained by a negative correlation between theta activity and the starting point. Together, these results shed a new light on the neural mechanisms underlying the rapid reconfiguration of stimulus-response associations, revealing a Goldilocks' effect of theta activity on switching behavior. ","Theta activity in the subthalamo-medio-prefrontal circuit exhibits a Goldilocks' effect on behavioral switching, with optimal levels facilitating successful switching, while excessive or delayed theta activity leads to premature switch errors and decreased performance."
"Too much or not enough? Optimal level of human intracranial theta activity for rule-switching in the subthalamo-medio-prefrontal circuit","https://scispace.com/paper/too-much-or-not-enough-optimal-level-of-human-intracranial-1r93ns80iy","2023","Journal Article","bioRxiv","Maëva Laquitaine
Mircea Polosan
Philippe Kahane
Stephan Chabardès
Jérôme Yelnik
Sara Fernandez-Vidal
Philippe Domenech
Julien Bastin","10.1101/2023.12.11.571129","","The ability to strategically switch between rules associating stimuli and responses as a function of changing environmental demands critically depend on a neural circuit including the dorsomedial prefrontal cortex (dmPFC) and the basal ganglia. However, the precise neural implementations of rule switching remain unclear. To address this issue, we recorded local field potentials from two groups of rare patients performing a rule-switching paradigm: (1) deep brain recordings of the subthalamic nucleus (STN) in patients with obsessive-compulsive disorder, and (2) stereo-electroencephalogram from dmPFC of drug-resistant epileptic patients. We fitted a hierarchical drift-diffusion model (HDDM) to patients’ choice behavior and found that rule-switching was associated with a shift in the starting point of evidence accumulation (z), effectively disentangling rule switches from the selection of a new response. At the neural level, we found that theta band (5-10 Hz) activity increased in dmPFC and STN during switch compared to non-switch trials, while temporally delayed and excessive levels of theta activity led to premature switch errors. This seemingly opposing impact of increased theta rhythms in successful and unsuccessful switching could be explained mechanistically using a neural HDDM, as trial-by-trial fluctuations in theta power negatively correlated with the subjects’ starting point parameter. Together, these results shed a new light on the neural mechanisms underlying the rapid reconfiguration of stimulus-response associations, revealing a Goldilocks’ effect of theta band activity on rule switching behavior.","A Goldilocks’ effect of theta band activity on rule switching behavior is revealed, revealing a Goldilocks’ effect of theta band activity on rule switching behavior."
"Network resets in medial prefrontal cortex mark the onset of behavioral uncertainty.","https://scispace.com/paper/network-resets-in-medial-prefrontal-cortex-mark-the-onset-of-3zzp57vq2s","2012","Journal Article","Science","Mattias P. Karlsson
Dougal G.R. Tervo
Alla Y. Karpova","10.1126/SCIENCE.1226518","https://science.sciencemag.org/content/sci/338/6103/135.full.pdf","Regions within the prefrontal cortex are thought to process beliefs about the world, but little is known about the circuit dynamics underlying the formation and modification of these beliefs. Using a task that permits dissociation between the activity encoding an animal's internal state and that encoding aspects of behavior, we found that transient increases in the volatility of activity in the rat medial prefrontal cortex accompany periods when an animal's belief is modified after an environmental change. Activity across the majority of sampled neurons underwent marked, abrupt, and coordinated changes when prior belief was abandoned in favor of exploration of alternative strategies. These dynamics reflect network switches to a state of instability, which diminishes over the period of exploration as new stable representations are formed.","It is found that transient increases in the volatility of activity in the rat medial prefrontal cortex accompany periods when an animal’s belief is modified after an environmental change."
"Prefrontal neuronal dynamics in the absence of task execution","https://scispace.com/paper/prefrontal-neuronal-dynamics-in-the-absence-of-task-2o0dbh0j","2022","Posted Content","bioRxiv","Shusen Pu
Wenhao Dang
Xue-Lian Qi
Christos Constantinidis","10.1101/2022.09.16.508324","https://scispace.com/pdf/prefrontal-neuronal-dynamics-in-the-absence-of-task-2o0dbh0j.pdf","Activity across prefrontal cortical populations represents stimuli in a low-dimensional manifold that often undergoes transformations during the execution of cognitive tasks. These dynamics are commonly thought to be determined by whatever cognitive operation is being performed at the time, for example, rotation of stimulus representation in population activity during working memory is thought to reduce interference by subsequent distractors. The assumption that cognitive operations dictate stimulus transformations has not yet been tested experimentally. Here we show that the activity space of prefrontal neurons in naïve monkeys exhibits significant rotations, some aspects of which remain remarkably unchanged after training to perform working memory tasks. Training does induce changes in population dynamics, which further distinguish correct and error trials during task execution. Our results reveal automatic functions of prefrontal neural circuits that form the substrate of cognitive flexibility.","It is shown that the activity space of prefrontal neurons in naïve monkeys exhibits significant rotations, some aspects of which remain remarkably unchanged after training to perform working memory tasks, revealing automatic functions of prefrontal neural circuits that form the substrate of cognitive flexibility."
"Coordinated prefrontal state transition leads extinction of reward-seeking behaviors","https://scispace.com/paper/coordinated-prefrontal-state-transition-leads-extinction-of-25srpphcx3","2021","Journal Article","The Journal of Neuroscience","Eleonora Russo
Tianyang Ma
Rainer Spanagel
Daniel Durstewitz
Hazem Toutounji
Hazem Toutounji
Hazem Toutounji
Georg Köhr","10.1523/JNEUROSCI.2588-20.2021","https://www.jneurosci.org/content/jneuro/41/11/2406.full.pdf","Extinction learning suppresses conditioned reward responses and is thus fundamental to adapt to changing environmental demands and to control excessive reward seeking. The medial prefrontal cortex (mPFC) monitors and controls conditioned reward responses. Abrupt transitions in mPFC activity anticipate changes in conditioned responses to altered contingencies. It remains, however, unknown whether such transitions are driven by the extinction of old behavioral strategies or by the acquisition of new competing ones. Using in vivo multiple single-unit recordings of mPFC in male rats, we studied the relationship between single-unit and population dynamics during extinction learning, using alcohol as a positive reinforcer in an operant conditioning paradigm. To examine the fine temporal relation between neural activity and behavior, we developed a novel behavioral model that allowed us to identify the number, onset, and duration of extinction-learning episodes in the behavior of each animal. We found that single-unit responses to conditioned stimuli changed even under stable experimental conditions and behavior. However, when behavioral responses to task contingencies had to be updated, unit-specific modulations became coordinated across the whole population, pushing the network into a new stable attractor state. Thus, extinction learning is not associated with suppressed mPFC responses to conditioned stimuli, but is anticipated by single-unit coordination into population-wide transitions of the internal state of the animal. SIGNIFICANCE STATEMENT The ability to suppress conditioned behaviors when no longer beneficial is fundamental for the survival of any organism. While pharmacological and optogenetic interventions have shown a critical involvement of the mPFC in the suppression of conditioned responses, the neural dynamics underlying such a process are still largely unknown. Combining novel analysis tools to describe behavior, single-neuron response, and population activity, we found that widespread changes in neuronal firing temporally coordinate across the whole mPFC population in anticipation of behavioral extinction. This coordination leads to a global transition in the internal state of the network, driving extinction of conditioned behavior.","In this article, the relationship between single-unit and population dynamics during extinction learning was studied in male rats, using alcohol as a positive reinforcer in an operant conditioning paradigm, and they found that widespread changes in neuronal firing temporally coordinate across the whole mPFC population in anticipation of behavioral extinction."
"Distinct roles of prefrontal cortex neurons in set shifting","https://scispace.com/paper/distinct-roles-of-prefrontal-cortex-neurons-in-set-shifting-42oacne2up0r","2024","Journal Article","bioRxiv","Marco Nigro
L. S. Tortorelli","10.1101/2024.08.20.608808","","Cognitive flexibility, the ability to adjust behavioral strategies in response to changing environmental contingencies, requires adaptive processing of internal states and contextual cues to guide goal-oriented behavior, and is dependent on prefrontal cortex (PFC) functions. However, the neurophysiological underpinning of how the PFC supports cognitive flexibility is not well understood and has been under active investigation. We recorded spiking activity from single PFC neurons in mice performing the attentional set-shifting task, where mice learned to associate different contextually relevant sensory stimuli to reward. We identified subgroups of PFC neurons encoding task context, choice and trial outcome. Putative fast-spiking neurons were more involved in representing outcome and choice than putative regular-spiking neurons. Regression model further revealed that task context and trial outcome modulated the activity of choice-encoding neurons in rule-dependent and cell type-dependent manners. Together, our data provide new evidence to elucidate PFC’s role in cognitive flexibility, suggesting differential cell type-specific engagement during set shifting, and that both contextual rule representation and trial outcome monitoring underlie PFC’s unique capacity to support flexible behavioral switching.","This study investigates the prefrontal cortex's role in cognitive flexibility, revealing distinct subgroups of neurons encoding task context, choice, and outcome, with fast-spiking neurons more involved in outcome and choice representation."
"Coordinated prefrontal state transition leads extinction of reward-seeking behaviors","https://scispace.com/paper/coordinated-prefrontal-state-transition-leads-extinction-of-3vbvb2z4ue","2020","Posted Content","bioRxiv","Eleonora Russo
Tianyang Ma
Rainer Spanagel
Daniel Durstewitz
Hazem Toutounji
Georg Köhr","10.1101/2020.02.26.964510","https://scispace.com/pdf/coordinated-prefrontal-state-transition-leads-extinction-of-3vbvb2z4ue.pdf","Extinction learning suppresses conditioned reward responses and is thus fundamental to adapt to changing environmental demands and to control excessive reward seeking. The medial prefrontal cortex (mPFC) monitors and controls conditioned reward responses. Using in vivo multiple single-unit recordings of mPFC we studied the relationship between single-unit and population dynamics during different phases of an operant conditioning task. To examine the fine temporal relation between neural activity and behavior, we developed a model-based statistical analysis that captured behavioral idiosyncrasies. We found that single-unit responses to conditioned stimuli changed throughout the course of a session even under stable experimental conditions and consistent behavior. However, when behavioral responses to task contingencies had to be updated during the extinction phase, unit-specific modulations became coordinated across the whole population, pushing the network into a new stable attractor state. These results show that extinction learning is not associated with suppressed mPFC responses to conditioned stimuli, but is driven by single-unit coordination into population-wide transitions of the animal’s internal state.","Results show that extinction learning is not associated with suppressed mPFC responses to conditioned stimuli, but is driven by single-unit coordination into population-wide transitions of the animal’s internal state."
"Representational Switching by Dynamical Reorganization of Attractor Structure in a Network Model of the Prefrontal Cortex","https://scispace.com/paper/representational-switching-by-dynamical-reorganization-of-1whnzksmk3","2011","Journal Article","PLOS Computational Biology","Yuichi Katori
Kazuhiro Sakamoto
Naohiro Saito
Jun Tanji
Hajime Mushiake
Kazuyuki Aihara","10.1371/JOURNAL.PCBI.1002266","https://scispace.com/pdf/representational-switching-by-dynamical-reorganization-of-1whnzksmk3.pdf","The prefrontal cortex (PFC) plays a crucial role in flexible cognitive behavior by representing task relevant information with its working memory. The working memory with sustained neural activity is described as a neural dynamical system composed of multiple attractors, each attractor of which corresponds to an active state of a cell assembly, representing a fragment of information. Recent studies have revealed that the PFC not only represents multiple sets of information but also switches multiple representations and transforms a set of information to another set depending on a given task context. This representational switching between different sets of information is possibly generated endogenously by flexible network dynamics but details of underlying mechanisms are unclear. Here we propose a dynamically reorganizable attractor network model based on certain internal changes in synaptic connectivity, or short-term plasticity. We construct a network model based on a spiking neuron model with dynamical synapses, which can qualitatively reproduce experimentally demonstrated representational switching in the PFC when a monkey was performing a goal-oriented action-planning task. The model holds multiple sets of information that are required for action planning before and after representational switching by reconfiguration of functional cell assemblies. Furthermore, we analyzed population dynamics of this model with a mean field model and show that the changes in cell assemblies' configuration correspond to those in attractor structure that can be viewed as a bifurcation process of the dynamical system. This dynamical reorganization of a neural network could be a key to uncovering the mechanism of flexible information processing in the PFC.","A dynamically reorganizable attractor network model based on certain internal changes in synaptic connectivity, or short-term plasticity is constructed based on a spiking neuron model with dynamical synapses which can qualitatively reproduce experimentally demonstrated representational switching in the PFC when a monkey was performing a goal-oriented action-planning task."
"Spatial and temporal structure of choice representations in primate prefrontal cortex","https://scispace.com/paper/spatial-and-temporal-structure-of-choice-representations-in-2aabcq16a7","2019","Posted Content","bioRxiv","Sepp Kollmorgen
William T. Newsome
Mante","10.1101/595520","https://biorxiv.org/content/biorxiv/early/2019/04/01/595520.full-text.pdf","Divergent accounts of how choices are represented by neural populations have led to conflicting explanations of the underlying mechanisms of decision-making, ranging from persistent, attractor-based dynamics to transient, sequence-based dynamics To evaluate these mechanisms, we characterize the spatial and temporal structure of choice representations in large neural populations in prefrontal cortex We find that the pronounced diversity of choice responses across neurons reflects only a few, mostly persistent population patterns recruited at progressively later times before and after a choice Brief sequential activity occurs during a saccadic choice, but is entirely absent in a delay preceding it The diversity of choice responses, which could result from almost-random connectivity in the underlying circuits, instead largely reflects the topographical arrangement of response-field properties across the cortical surface This spatial organization appears to form a fixed scaffold upon which the context-dependent representations of task-specific variables often observed in prefrontal cortex can be learned","This work describes the spatial and temporal structure of choice representations in large neural populations in prefrontal cortex and finds that the pronounced diversity of choice responses across neurons reflects only a few, mostly persistent population patterns recruited at progressively later times before and after a choice."
"Strategy Switching and the Rat Prefrontal Cortex","https://scispace.com/paper/strategy-switching-and-the-rat-prefrontal-cortex-3frhpn92ca","2004","Book Chapter","","Matthijs G. P. Feenstra
Jan P.C. de Bruin","10.1007/1-4020-7949-4_8","","The prefrontal cortex (PFC) is important for cognitive flexibility - the PFC appears to be involved whenever a novel strategy has to be adopted or a switch from an old to a new strategy is needed. A serial reversal (Acquisition-Reversal-Extinction) task was used to study when and how the rat PFC is involved in various phases of this task. Each phase requires switching of behavioral strategies. Experimental data are summarized that suggest involvement of the medial PFC in the formation of new action-outcome relationships during the first stages of the serial reversal phase. This corresponds to a similar involvement of the dopaminergic innervation of the medial PFC. No involvement was detected during the discrimination phase, the later reversal phase, or the extinction phase, corroborating the view that PFC is actively involved in the formation of representations of goals and the means to achieve them (Miller, 2000). The ARE-task is taken as a basis to review the possible role of the PFC and its dopaminergic innervation in the various phases and the underlying processes of formation and adaptation of goaldirected actions.","Experimental data are summarized that suggest involvement of the medial PFC in the formation of new action-outcome relationships during the first stages of the serial reversal phase, corroborating the view that PFC is actively involved in theformation of representations of goals and the means to achieve them."
"Identification of Switching Linear Dynamics in Distributed Neural Populations","https://scispace.com/paper/identification-of-switching-linear-dynamics-in-distributed-1mlhha31","2023","Journal Article","International IEEE/EMBS Conference on Neural Engineering","R. Osuna-Orozco
Samantha R Santacruz","10.1109/NER52421.2023.10123868","","Modern techniques have enabled recording large numbers of anatomically distributed neural populations at high spatial and temporal resolution. These populations interact in a complex, often nonlinear and nonstationary, way. Thus, there is a need for robust and versatile methods that can capture these complex dynamics while remaining adequately constrained by the observed data. Recently, there has been increasing interest in Switching linear dynamical systems for modeling nonlinear neural dynamics in a piecewise linear fashion, especially when abrupt transitions occur that may be related to distinct behaviors. We present a computational and experimental study characterizing switching linear dynamics for interacting neural populations. First, we motivate the use of the time-varying autoregression with low rank tensors (TVART) method by recovering the linearized dynamics about the stable attractors of a simple model of two interacting neural populations. Then, we identify the time-varying dynamics of the power feature time series derived from local field potentials recorded from a non-human primate animal subject. Robust variation in the dynamics where concurrent with the onset of the task behavior. Finally, we consider the variations of dynamics in the resting state and demonstrate that low rank time-varying dynamics can reduce the prediction error when compared to a full rank stationary model.","In this article , the authors use the time-varying autoregression with low rank tensors (TVART) method to recover the linearized dynamics about the stable attractors of a simple model of two interacting neural populations."
"Identification of Switching Linear Dynamics in Distributed Neural Populations","https://scispace.com/paper/identification-of-switching-linear-dynamics-in-distributed-29cn14ls","2023","Proceedings Article","","","10.1109/ner52421.2023.10123868","","Modern techniques have enabled recording large numbers of anatomically distributed neural populations at high spatial and temporal resolution. These populations interact in a complex, often nonlinear and nonstationary, way. Thus, there is a need for robust and versatile methods that can capture these complex dynamics while remaining adequately constrained by the observed data. Recently, there has been increasing interest in Switching linear dynamical systems for modeling nonlinear neural dynamics in a piecewise linear fashion, especially when abrupt transitions occur that may be related to distinct behaviors. We present a computational and experimental study characterizing switching linear dynamics for interacting neural populations. First, we motivate the use of the time-varying autoregression with low rank tensors (TVART) method by recovering the linearized dynamics about the stable attractors of a simple model of two interacting neural populations. Then, we identify the time-varying dynamics of the power feature time series derived from local field potentials recorded from a non-human primate animal subject. Robust variation in the dynamics where concurrent with the onset of the task behavior. Finally, we consider the variations of dynamics in the resting state and demonstrate that low rank time-varying dynamics can reduce the prediction error when compared to a full rank stationary model. ","In this paper , the authors use the time-varying autoregression with low rank tensors (TVART) method to recover the linearized dynamics about the stable attractors of a simple model of two interacting neural populations."
