"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment","Data Characteristics and Availability"
"Learning to learn: Single session acquisition of new rules by freely-moving mice","https://scispace.com/paper/learning-to-learn-single-session-acquisition-of-new-rules-by-s5bvoldunz","2024","Journal Article","PNAS nexus","Amir Levi
Noam Aviv
Eran Stark","10.1093/pnasnexus/pgae203","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on rapid visual discrimination learning in freely moving mice, without maze navigation, reinforcement details, or trial‑by‑trial path analysis.","Abstract Learning from examples and adapting to new circumstances are fundamental attributes of human cognition. However, it is unclear what conditions allow for fast and successful learning, especially in nonhuman subjects. To determine how rapidly freely moving mice can learn a new discrimination criterion (DC), we design a two-alternative forced-choice visual discrimination paradigm in which the DCs governing the task can change between sessions. We find that experienced animals can learn a new DC after being exposed to only five training and three testing trials. The propensity for single session learning improves over time and is accurately predicted based on animal experience and criterion difficulty. After establishing the procedural learning of a paradigm, mice continuously improve their performance in new circumstances. Thus, mice learn to learn. ","",""
"Adaptive algorithms for shaping behavior","https://scispace.com/paper/adaptive-algorithms-for-shaping-behavior-ctegbykqck","2023","Journal Article","bioRxiv","William L. Tong
Anisha Iyer
Venkatesh N. Murthy
Gautam Reddy","10.1101/2023.12.03.569774","https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1013454&type=printable","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on machine‑learning teachers shaping artificial agents, not mouse maze behavior; lacks reinforcement details, abrupt insights, individual path metrics, trial‑by‑trial mouse data, or comparative species analysis.","Dogs and laboratory mice are commonly trained to perform complex tasks by guiding them through a curriculum of simpler tasks (‘shaping’). What are the principles behind effective shaping strategies? Here, we propose a machine learning framework for shaping animal behavior, where an autonomous teacher agent decides its student’s task based on the student’s transcript of successes and failures on previously assigned tasks. Using autonomous teachers that plan a curriculum in a common sequence learning task, we show that near-optimal shaping algorithms adaptively alternate between simpler and harder tasks to carefully balance reinforcement and extinction. Based on this intuition, we derive an adaptive shaping heuristic with minimal parameters, which we show is near-optimal on the sequence learning task and robustly trains deep reinforcement learning agents on navigation tasks that involve sparse, delayed rewards. Extensions to continuous curricula are explored. Our work provides a starting point towards a general computational framework for shaping animal behavior.","",""
"Disruption of the grid cell network in a mouse model of early Alzheimer’s disease","https://scispace.com/paper/disruption-of-the-grid-cell-network-in-a-mouse-model-of-5e5ngs0m3n","2021","Posted Content","bioRxiv","Johnson Ying
Alexandra T. Keinath
Raphael Lavoie
Erika Vigneault
Salah El Mestikawy
Mark P. Brandon","10.1101/2021.08.29.458090","https://scispace.com/pdf/disruption-of-the-grid-cell-network-in-a-mouse-model-of-5e5ngs0m3n.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on grid cell disruption and path‑integration performance in an Alzheimer's mouse model; lacks reinforcement learning framework, abrupt insight reporting, detailed trial‑by‑trial or individual path efficiency analysis, and related computational or comparative studies.","Early-onset familial Alzheimer’s disease (AD) is marked by an aggressive buildup of amyloid beta (Aβ) proteins, yet the neural circuit operations impacted during the initial stages of Aβ pathogenesis remain elusive. Here, we report a coding impairment of the medial entorhinal cortex (MEC) grid cell network in a transgenic mouse model of familial AD that over-expresses Aβ throughout the hippocampus and entorhinal cortex. Grid cells showed reduced spatial periodicity, spatial stability, and synchrony with interneurons and head-direction cells. In contrast, the spatial coding of non-grid cells within the MEC, and place cells within the hippocampus, remained intact. Grid cell deficits emerged at the earliest incidence of Aβ fibril deposition and coincided with impaired spatial memory performance in a path integration task. These results demonstrate that widespread Aβ-mediated damage to the entorhinal-hippocampal circuit results in an early impairment of the entorhinal grid cell network.","",""
"Spatial and nonspatial escape strategies in the Barnes maze","https://scispace.com/paper/spatial-and-nonspatial-escape-strategies-in-the-barnes-maze-4r77gws60v","2006","Journal Article","Learning & Memory","Fiona E. Harrison
Randall S. Reiserer
Andrew J. Tomarken
Michael P. McDonald","10.1101/LM.334306","https://scispace.com/pdf/spatial-and-nonspatial-escape-strategies-in-the-barnes-maze-4r77gws60v.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Describes Barnes maze procedures and basic behavioral metrics but lacks reinforcement mechanisms, abrupt learning reports, individual path efficiency, trial‑by‑trial dynamics, modeling, or comparative analyses.","The Barnes maze is a spatial memory task that requires subjects to learn the position of a hole that can be used to escape the brightly lit, open surface of the maze. Two experiments assessed the relative importance of spatial (extra-maze) versus proximal visible cues in solving the maze. In Experiment 1, four groups of mice were trained either with or without a discrete visible cue marking the location of the escape hole, which was either in a fixed or variable location across trials. In Experiment 2, all mice were trained with the discrete visible cue marking the target hole location. Two groups were identical to the cued-target groups from Experiment 1, with either fixed or variable escape locations. For these mice, the discrete cue either was the sole predictor of the target location or was perfectly confounded with the spatial extra-maze cues. The third group also used a cued variable target, but a curtain was drawn around the maze to prevent the use of spatial cues to guide navigation. Probe trials with all escape holes blocked were conducted to dissociate the use of spatial and discrete proximal cues. We conclude that the Barnes maze can be solved efficiently using spatial, visual cue, or serial-search strategies. However, mice showed a strong preference for using the distal room cues, even when a discrete visible cue clearly marked the escape location. Importantly, these data show that the cued-target control version of the Barnes maze as typically conducted does not dissociate spatial from nonspatial abilities.","",""
"Mice identify subgoal locations through an action-driven mapping process","https://scispace.com/paper/mice-identify-subgoal-locations-through-an-action-driven-3o96yvi7fa","2021","Journal Article","bioRxiv","Philip Shamash
Tiago Branco","10.1101/2021.12.14.472688","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on action‑driven subgoal learning via neural interruption; lacks reinforcement models, abrupt insight data, individual trial paths, or comparative computational analysis.","Mammals instinctively explore and form mental maps of their spatial environments. Models of cognitive mapping in neuroscience mostly depict map-learning as a process of random or biased diffusion. In practice, however, animals explore spaces using structured, purposeful, sensory-guided actions. Here we test the hypothesis that executing specific exploratory actions is a key strategy for building a cognitive map. Previous work has shown that in arenas with obstacles and a shelter, mice spontaneously learn efficient multi-step escape routes by memorizing allocentric subgoal locations. We thus used threat-evoked escape to probe the relationship between ethological exploratory behavior and allocentric spatial memory. Using closed-loop neural manipulations to interrupt running movements during exploration, we found that blocking runs targeting an obstacle edge abolished subgoal learning. In contrast, blocking other movements while sparing edge-directed runs had no effect on memorizing subgoals. Finally, spatial analyses suggest that the decision to use a subgoal during escape takes into account the mouse’s starting position relative to the layout of the environment. We conclude that mice use an action-driven learning process to identify subgoals and that these subgoals are then integrated into a map-based planning process. We suggest a conceptual framework for spatial learning that is compatible with the successor representation from reinforcement learning and sensorimotor enactivism from cognitive science.","",""
"Functional analysis of neurovascular adaptations to exercise in the dentate gyrus of young adult mice associated with cognitive gain","https://scispace.com/paper/functional-analysis-of-neurovascular-adaptations-to-exercise-39q6vre0bi","2009","Journal Article","Hippocampus","Peter J. Clark
Weronika J. Brzezinska
Emily K. Puchalski
David A. Krone
Justin S. Rhodes","10.1002/HIPO.20543","https://scispace.com/pdf/functional-analysis-of-neurovascular-adaptations-to-exercise-39q6vre0bi.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on exercise‑induced neurovascular changes and general behavioral improvements; lacks reinforcement mechanisms, abrupt insight, individual path metrics, trial‑by‑trial data, or modeling.","The discovery that aerobic exercise increases adult hippocampal neurogenesis and can enhance cognitive performance holds promise as a model for regenerative medicine. This study adds two new pieces of information to the rapidly growing field. First, we tested whether exercise increases vascular density in the granular layer of the dentate gyrus, whole hippocampus, and striatum in C57BL/6J mice known to display procognitive effects of exercise. Second, we determined the extent to which new neurons from exercise participate in the acute neuronal response to high levels of running in B6D2F1/J (F1 hybrid of C57BL/6J female by DBA/2J male). Mice were housed with or without a running wheel for 50 days (runner vs. sedentary). The first 10 days, they received daily injections of BrdU to label dividing cells. The last 10 days, mice were tested for performance on the Morris water maze and rotarod and then euthanized to measure neurogenesis, c-Fos induction from running and vascular density. In C57BL/6J, exercise increased neurogenesis, density of blood vessels in the dentate gyrus and striatum (but not whole hippocampus), and enhanced performance on the water maze and rotarod. In B6D2F1/J, exercise also increased hippocampal neurogenesis but not vascular density in the granular layer. Improvement on the water maze from exercise was marginal, and no gain was seen for rotarod, possibly because of a ceiling effect. Running increased the number of c-Fos positive neurons in the granular layer by fivefold, and level of running was strongly correlated with c-Fos within 90 min before euthanasia. In runners, approximately 3.3% (+/-0.008 S.E.) of BrdU-positive neurons in the middle of the granule layer displayed c-Fos when compared with 0.8% (+/-0.001) of BrdU-negative neurons. Results suggest that procognitive effects of exercise are associated with increased vascular density in the dentate gyrus and striatum in C57BL/6J mice, and that new neurons from exercise preferentially function in the neuronal response to running in B6D2F1/J.","",""
"The sodium-activated potassium channel Slack is required for optimal cognitive flexibility in mice","https://scispace.com/paper/the-sodium-activated-potassium-channel-slack-is-required-for-gttlmfqlk3","2015","Journal Article","Learning & Memory","Anne E. Bausch
Rebekka Dieter
Yvette Nann
Mario Hausmann
Nora Meyerdierks
Leonard K. Kaczmarek
Peter Ruth
Robert Lukowski","10.1101/LM.037820.114","https://scispace.com/pdf/the-sodium-activated-potassium-channel-slack-is-required-for-gttlmfqlk3.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes each mouse's path length in water and Barnes mazes, but lacks reinforcement mechanisms, abrupt insight reporting, trial‑by‑trial dynamics, and computational or comparative modeling.","Kcnt1 encoded sodium-activated potassium channels (Slack channels) are highly expressed throughout the brain where they modulate the firing patterns and general excitability of many types of neurons. Increasing evidence suggests that Slack channels may be important for higher brain functions such as cognition and normal intellectual development. In particular, recent findings have shown that human Slack mutations produce very severe intellectual disability and that Slack channels interact directly with the Fragile X mental retardation protein (FMRP), a protein that when missing or mutated results in Fragile X syndrome (FXS), the most common form of inherited intellectual disability and autism in humans. We have now analyzed a recently developed Kcnt1 null mouse model in several behavioral tasks to assess which aspects of memory and learning are dependent on Slack. We demonstrate that Slack deficiency results in mildly altered general locomotor activity, but normal working memory, reference memory, as well as cerebellar control of motor functions. In contrast, we find that Slack channels are required for cognitive flexibility, including reversal learning processes and the ability to adapt quickly to unfamiliar situations and environments. Our data reveal that hippocampal-dependent spatial learning capabilities require the proper function of Slack channels.","",""
"Bupropion and Citalopram in the APP23 Mouse Model of Alzheimer's Disease: A Study in a Dry-Land Maze.","https://scispace.com/paper/bupropion-and-citalopram-in-the-app23-mouse-model-of-3qxoqv41v7","2012","Journal Article","International Journal of Alzheimer's Disease","Katharina L. Neumeister
Matthias W. Riepe","10.1155/2012/673584","https://scispace.com/pdf/bupropion-and-citalopram-in-the-app23-mouse-model-of-3qxoqv41v7.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on drug treatment effects and aggregate maze performance; lacks reinforcement mechanisms, abrupt insight reporting, individual path analysis, trial‑by‑trial data, and computational or comparative modeling.","Background. Incipient Alzheimer's disease is often disguised as depressive disorder. Over the course of AD, depressive symptoms are even more frequent. Hence, treatment with antidepressants is common in AD. It was the goal of the present study to assess whether two common antidepressants with different mechanisms of action affect spatial learning in a transgenic animal model of Alzheimer's disease. Methods. We assessed spatial memory of male wild-type and B6C3-Tg(APPswe,PSEN1dE9)85Dbo (APP23) transgenic animals in a complex dry-land maze. Animals were treated with citalopram (10 mg/kg) and bupropion (20 mg/kg). Results. Moving and resting time until finding the goal zone decreased in 4.5-month-old sham-treated wild-type animals and, to a lesser extent, in APP23 animals. Compared with sham-treated APP23 animals, treatment with bupropion reduced resting time and increased speed. On treatment with citalopram, moving and resting time were unchanged but speed decreased. Length of the path to the goal zone did not change on either bupropion or citalopram. Conclusion. Bupropion increases psychomotor activity in APP23 transgenic animals, while citalopram slightly reduces psychomotor activity. Spatial learning per se is unaffected by treatment with either bupropion or citalopram.","",""
"The Effects of Selected Drugs on the Memory Recall of Sleep Deprived Mice","https://scispace.com/paper/the-effects-of-selected-drugs-on-the-memory-recall-of-sleep-4pccbeg0ob","2013","","","Jennifer Pauldurai","","https://scispace.com/pdf/the-effects-of-selected-drugs-on-the-memory-recall-of-sleep-4pccbeg0ob.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on drug effects on maze completion times; lacks reinforcement mechanisms, abrupt learning reports, individual path metrics, trial‑by‑trial data, modeling, or cross‑species comparisons.","Humans often make use of the neurotransmission altering effects of drugs such as caffeine, ephedrine, and ethanol. These drugs induce changes in memory and learning ability, specifically when used for sleep deprivation (Pilcher & Huffcutt, 1996; Malinauskas, Aeby, Overton, Carpenter-Aeby, & Barber-Heidal, 2007). English white mice (Mus musculus) have been shown to exhibit similar cognitive changes when administered drugs or when sleep deprived (Tanaka et al., 2003; Vecsey et al., 2009; Patti et al., 2010). This study revealed a counterbalancing effect when mice were both administered selected drugs and sleep deprived. A sample of 20 mice was divided into three experimental groups (each group receiving one of the following drugs: caffeine, ethanol, or ephedrine) and one control group. Maze-testing demonstrated that memory performance decreased with sleep deprivation (Treatment-1) but all groups returned to baseline performance when injected (IP) with their selected drugs (Treatment-2), regardless of the specific drug. However, in the absence of sleep deprivation, each drug showed less of an effect. Neither caffeine nor ephedrine produced any significant effect, while alcohol treatment decreased performance. Overall, sleep deprivation consistently decreases memory recall performance in mice. Drug use can counterbalance those effects of fatigue. However, that drug use does not have the same effect on non-fatigued mice, which suggests a synergistic interaction between sleep deprivation and the use of these specific drugs. Modern society has seen an increased prevalence of cognitive improvement methods and it seems that everyone is intent on maximizing their brain power. Memory recall has been particularly targeted by those under the demands of the academic environment (Pilcher & Huffcutt, 1996). The recall ability of the average college student is influenced by many behavioral and chemical factors. This population has been known to regularly make use of chemicals such as caffeine, alcohol and more recently, ephedrine. Caffeine is found in many beverages, including coffee, teas, and soda. Similarly, alcoholic beverages are prevalent in the party and nightlife scenes of college environments. Less advertised, but still widely abused, is ephedrine, which is the chemical basis of many study aids and ADHD drugs, such as Adderall and Ritalin (Durmer & Dinges, 2005; Pilcher & Huffcutt). In addition to these drugs, college brains are exposed to chronic sleep deprivation. The dynamics of exposing the brain to all of these circumstances can affect the limits of memory recall. Previous research has well documented the independent physiological effects of caffeine, ethanol, ephedrine, and sleep deprivation on mice. Research was compiled using academic journals and databases such as PSYCHBooks, SAGE, and Web of Knowledge.","",""
"Deletion of glycine transporter 1 (GlyT1) in forebrain neurons facilitates reversal learning: enhanced cognitive adaptability?","https://scispace.com/paper/deletion-of-glycine-transporter-1-glyt1-in-forebrain-neurons-1526vocbdi","2009","Journal Article","Behavioral Neuroscience","Philipp Singer
Detlev Boison
Hanns Möhler
Joram Feldon
Benjamin K. Yee","10.1037/A0016676","https://scispace.com/pdf/deletion-of-glycine-transporter-1-glyt1-in-forebrain-neurons-1526vocbdi.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper reports genotype effects on water‑maze and T‑maze tasks but lacks reinforcement descriptions, abrupt insight data, individual path metrics, trial‑by‑trial dynamics, or modeling/comparative analyses.","Local availability of glycine near N-methyl-D-aspartate receptors (NMDARs) is partly regulated by neuronal glycine transporter 1 (GlyT1), which can therefore modulate NMDAR function because binding to the glycine site of the NMDAR is necessary for channel activation. Disrupting GlyT1 in forebrain neurons has been shown to enhance Pavlovian conditioning and object recognition memory. Here, the authors report that the same genetic manipulation facilitated reversal learning in the water maze test of reference memory, but did not lead to any clear improvement in a working memory version of the water maze test. Facilitation in a nonspatial discrimination reversal task conducted on a T maze was also observed, supporting the conclusion that forebrain neuronal GlyT1 may modulate the flexibility in (new) learning and relevant mnemonic functions. One possibility is that these phenotypes may reflect reduced susceptibility to certain forms of proactive interference. This may be relevant for the suggested clinical application of GlyT1 inhibitors in the treatment of cognitive deficits, including schizophrenia, which is characterized by cognitive inflexibility in addition to the positive symptoms of the disease.","",""
"… role of α1- and α5-containing GABAA receptors in mediating diazepam effects on spontaneous locomotor activity and water-maze learning and memory in rats","https://scispace.com/paper/Dwqer_XnYr4J","","","","MM Savić
MM Milinković
S Rallapalli","","https://academic.oup.com/ijnp/article-pdf/12/9/1179/1931491/12-9-1179.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on pharmacological effects of diazepam on rat water‑maze performance; lacks reinforcement learning framework, trial‑by‑trial or individual path analyses, and computational or comparative modeling.","","",""
"Depletion of neurocan in the prefrontal cortex impairs temporal order recognition, cognitive flexibility and perisomatic GABAergic innervation","https://scispace.com/paper/depletion-of-neurocan-in-the-prefrontal-cortex-impairs-2nzekkj9","2023","Posted Content","bioRxiv","D. Baidoe-Ansah
Hadi Mirzapourdelavar
Hector Carceller
Marta Perez-Rando
Luisa Strackeljan
Constanze I. Seidenbecher
V. Kaushik
Juan Nacher
Alexander Dityatev","10.1101/2023.04.18.537277","https://scispace.com/pdf/depletion-of-neurocan-in-the-prefrontal-cortex-impairs-2nzekkj9.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses water reward to motivate maze runs, but lacks detailed reinforcement mechanisms, abrupt insight reports, individual path efficiency metrics, trial‑by‑trial dynamics, integrated analysis, computational models, or cross‑species comparisons.","The condensed form of neural extracellular matrix (ECM), perineuronal nets (PNNs), is predominantly associated with parvalbumin-expressing (PV+) interneurons in the cortex and hippocampus. PNNs are enriched in several lecticans, including neurocan (Ncan). A polymorphism in the human Ncan gene has been associated with alterations in hippocampus-dependent memory function, variation of prefrontal cortex structure, and a higher risk for schizophrenia or bipolar disorder. Ncan knockout (KO) mice show related behavioral abnormalities, such as hyperactivity. Here we focused on studying how dysregulation of Ncan specifically in the mPFC may affect cognitive and synaptic functions. Intracortical adeno-associated virus (AAV) delivery was used to express shRNA against Ncan. Analysis of PNNs in Ncan shRNA-injected mice revealed a reduction in PNNs labelling by Wisteria floribunda agglutinin (WFA) around PV+ interneurons. Reduced Ncan expression resulted in a loss of the mPFC-dependent temporal order recognition and impairment of reversal spatial learning in a labyrinth (dry maze) task. As a potential synaptic substrate of these cognitive abnormalities, we report a robust reduction in the perisomatic GABAergic innervation of PV+ cells in Ncan KO and Ncan shRNA-injected mice. We also observed an increase in the density of vGLUT1-immunopositive synaptic puncta in the neuropil of Ncan shRNA-injected mice, which was, however, compensated in Ncan KO mice. Thus, our findings highlight a functional role of Ncan in supporting perisomatic GABAergic inhibition, temporal order recognition memory and cognitive flexibility, as one of the important cognitive resources depleted in neuropsychiatric disorders. Contribution to the field In this study, we asked if the extracellular matrix proteoglycan neurocan (Ncan) plays a functional role in the prefrontal cortex (PFC) of mice. Using viral delivery and expression of shRNA to knock down the expression of Ncan in the PFC, we provide evidence that neuronal Ncan is essential for the maintenance of perineuronal nets enveloping perisomatic interneurons by influencing the expression of glycoepitopes stained with Wisteria floribunda agglutinin and by modulating mRNA expression levels of other PNNs constituents. At the behavioral level, the knockdown of Ncan in mPFC impaired the temporal order recognition memory and consolidation/retrieval of spatial memories after reversal learning in the dry maze task. At the synaptic level, we found that Ncan knockdown reduced perisomatic GABAergic innervation of perisomatic interneurons and increased the density of vGLUT1+ excitatory presynaptic terminals in the neuropil of the PFC. Moreover, knockdown of Ncan changed the expression levels of several genes involved in activity-dependent synaptic remodeling. In summary, we conclude that neuronal Ncan is essential for multiple cognitive flexibility-related synaptic and cognitive functions in the PFC.","",""
"Enhancing visual grounding for gui agents via self-evolutionary reinforcement learning","https://scispace.com/paper/enhancing-visual-grounding-for-gui-agents-via-self-guxt2tx0q7c6","2025","Journal Article","arXiv.org","Xinbin Yuan
Jian Zhang
Kaixin Li
Zhuoxuan Cai
Lujian Yao
Jie Chen
Enguang Wang
Qibin Hou
Jinwei Chen
Peng-Tao Jiang
Bo Li","10.48550/arxiv.2505.12370","https://arxiv.org/pdf/2505.12370?","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on GUI visual grounding with RL; no mouse maze experiments, path analysis, or abrupt learning dynamics.","","",""
"Low brain endocannabinoids associated with persistent non-goal directed nighttime hyperactivity after traumatic brain injury in mice.","https://scispace.com/paper/low-brain-endocannabinoids-associated-with-persistent-non-1jdb9e6j5j","2020","Journal Article","Scientific Reports","Alexandra Vogel
Annett Wilken-Schmitz
Regina Hummel
Manuel Lang
Robert Gurke
Yannick Schreiber
Michael K. E. Schäfer
Irmgard Tegeder","10.1038/S41598-020-71879-X","https://scispace.com/pdf/low-brain-endocannabinoids-associated-with-persistent-non-1jdb9e6j5j.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on endocannabinoid levels and memory deficits after TBI; lacks reinforcement learning framework, abrupt insight reporting, individual path efficiency metrics, trial‑by‑trial dynamics, or computational/comparative analyses.","Traumatic brain injury (TBI) is a frequent cause of chronic headache, fatigue, insomnia, hyperactivity, memory deficits, irritability and posttraumatic stress disorder. Recent evidence suggests beneficial effects of pro-cannabinoid treatments. We assessed in mice levels of endocannabinoids in association with the occurrence and persistence of comparable sequelae after controlled cortical impact in mice using a set of long-term behavioral observations in IntelliCages, motor and nociception tests in two sequential cohorts of TBI/sham mice. TBI mice maintained lower body weights, and they had persistent low levels of brain ethanolamide endocannabinoids (eCBs: AEA, OEA, PEA) in perilesional and subcortical ipsilateral brain tissue (6 months), but rapidly recovered motor functions (within days), and average nociceptive responses were within normal limits, albeit with high variability, ranging from loss of thermal sensation to hypersensitivity. TBI mice showed persistent non-goal directed nighttime hyperactivity, i.e. they visited rewarding and non-rewarding operant corners with high frequency and random success. On successful visits, they made more licks than sham mice resulting in net over-licking. The lower the eCBs the stronger was the hyperactivity. In reward-based learning and reversal learning tasks, TBI mice were not inferior to sham mice, but avoidance memory was less stable. Hence, the major late behavioral TBI phenotype was non-goal directed nighttime hyperactivity and ""over-licking"" in association with low ipsilateral brain eCBs. The behavioral phenotype would agree with a ""post-TBI hyperactivity disorder"". The association with persistently low eCBs in perilesional and subcortical regions suggests that eCB deficiency contribute to the post-TBI psychopathology.","",""
"Dissociating task acquisition from expression during learning reveals latent knowledge","https://scispace.com/paper/dissociating-task-acquisition-from-expression-during-3wyh5tbi8w","2018","Posted Content","bioRxiv","Kishore V. Kuchibhotla
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Eleni S. Papadoyannis
Eleni S. Papadoyannis
Sarah Elnozahy
Kelly Fogelson
Rupesh Kumar
Yves Boubenec
Peter C. Holland
Srdjan Ostojic
Robert C. Froemke
Robert C. Froemke
Robert C. Froemke","10.1101/489450","https://scispace.com/pdf/dissociating-task-acquisition-from-expression-during-3wyh5tbi8w.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper studies probe vs reinforced trials across species, not mouse maze learning; lacks reinforcement‑driven maze task, abrupt insight reports, individual path metrics, trial‑by‑trial dynamics, and integrated modeling.","SUMMARY Performance on cognitive tasks during learning is used to measure intelligence, yet it remains controversial since such testing is susceptible to contextual factors. To what extent does performance during learning depend on the testing context, rather than underlying knowledge? We trained mice, rats and ferrets on a range of tasks to examine how testing context impacts the acquisition of knowledge versus its expression. We interleaved reinforced trials with “probe” trials in which we omitted reinforcement. Across tasks, each animal species performed remarkably better in probe trials during learning and inter-animal variability was strikingly reduced. Reinforcement feedback is thus critical for learning-related plasticity but, paradoxically, masks the expression of underlying knowledge. We capture these results with a network model in which learning occurs during reinforced trials while context modulates only the read-out parameters. Probing learning by omitting reinforcement thus uncovers latent knowledge and identifies context—not “smartness”—as the major source of individual variability. HIGHLIGHTS Knowledge acquisition and expression can be segregated by the introduction of non-reinforced probe trials across a variety of animal species and behavioral tasks. Animals learn much faster and in a more stereotyped way in non-reinforced probe trials than their performance in the presence of reinforcement suggests. Underperformance and variability in performance arise from sensitivity to the behavioral testing context, not acquisition of sensorimotor associations. A circuit model accounts for context-dependent performance by modulating the integration of sensorimotor associations. eTOC Kuchibhotla et al. show the acquisition and expression of knowledge can be behaviorally dissociated in mice, rats, and ferrets across a variety of sensorimotor tasks. Across animals, variability in performance arises from the testing context, not underlying aptitude.","",""
"Effects of endogenous NMDA receptor modulators on neuronal morphology and synaptic plasticity","https://scispace.com/paper/jPFczpAXDlcJ","","","","PMS Jorratt Callejas","","https://dspace.cuni.cz/bitstream/handle/20.500.11956/192411/140120187.pdf?sequence=1","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on NMDA receptor modulators and neuronal morphology; does not address mouse maze behavior, reinforcement learning, or trial‑by‑trial performance dynamics.","","",""
"Kv4.2 knockout mice display learning and memory deficits in the Lashley maze.","https://scispace.com/paper/kv4-2-knockout-mice-display-learning-and-memory-deficits-in-36o8nexobw","2016","Journal Article","F1000Research","Gregory D. Smith
Nan Gao
Joaquin N. Lugo","10.12688/F1000RESEARCH.9664.2","https://scispace.com/pdf/kv4-2-knockout-mice-display-learning-and-memory-deficits-in-36o8nexobw.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses trial‑by‑trial error counts to track learning, but lacks reinforcement description, abrupt insight, individual path metrics, and integrative modeling.","Background : Potassium channels have been shown to be involved in neural plasticity and learning. Kv4.2 is a subunit of the A-type potassium channel. Kv4.2 channels modulate excitability in the dendrites of pyramidal neurons in the cortex and hippocampus. Deletion of Kv4.2 results in spatial learning and conditioned fear deficits; however, previous studies have only examined deletion of Kv4.2 in aversive learning tests. Methods : For the current study, we used the Lashley maze as an appetitive learning test. We examined Kv4.2 wildtype (WT) and knockout (KO) mice in the Lashley maze over 4 days during adulthood. The first day consisted of habituating the mice to the maze. The mice then received five trials per day for the next 3 days. The number of errors and the time to the goal box was recorded for each trial. The goal box contained a weigh boat with an appetitive reward (gelatin with sugar). There was an intertrial interval of 15 minutes. Results : We found that Kv4.2 KO mice committed more errors across the trials compared to the WT mice p <0.001. There was no difference in the latency to find the goal box over the period. Discussion : Our finding that deletion of Kv4.2 resulted in more errors in the Lashley maze across 15 trials contribute to a growing body of evidence that Kv4.2 channels are significantly involved in learning and memory.","",""
