"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Conceptualization of relative size by honeybees.","https://scispace.com/paper/conceptualization-of-relative-size-by-honeybees-1fzzl8txtt","2014","Journal Article","Frontiers in Behavioral Neuroscience","Aurore Avarguès-Weber
Daniele d’Amaro
Marita Metzler
Adrian G. Dyer","10.3389/FNBEH.2014.00080","https://scispace.com/pdf/conceptualization-of-relative-size-by-honeybees-1fzzl8txtt.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Studies honeybee relative‑size concept with transfer tests and per‑bee data; lacks same/different focus, sudden jumps, neural links, and cross‑species comparison.","The ability to process visual information using relational rules allows for decisions independent of the specific physical attributes of individual stimuli. Until recently, the manipulation of relational concepts was considered as a prerogative of large mammalian brains. Here we show that individual free flying honeybees can learn to use size relationship rules to choose either the larger or smaller stimulus as the correct solution in a given context, and subsequently apply the learnt rule to novel colors and shapes providing that there is sufficient input to the long wavelength (green) photoreceptor channel. Our results add a novel, size-based conceptual rule to the set of relational concepts that honeybees have been shown to master and underline the value of bees as an animal model for studying the emergence of conceptualization abilities."
"1.29 – Behavioral and Neural Analysis of Associate Learning in the Honeybee","https://scispace.com/paper/1-29-behavioral-and-neural-analysis-of-associate-learning-in-21h38n07gh","2008","Book Chapter","","M. Giurfa","10.1016/B978-012370509-9.00067-X","","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee subjects to explore associative, categorization, and rule‑abstraction learning; provides detailed protocols and discusses neural substrates, but does not address same/different concepts, transfer testing, or individual‑level performance dynamics.","Equipped with a minibrain smaller than 1 mm3 and containing only 950 000 neurons, honeybees could indeed be considered as having rather limited cognitive abilities. However, bees display a rich and interesting behavioral repertoire, in which learning and memory play a fundamental role in the framework of foraging activities. We focus on the question of whether adaptive behavior in honeybees exceeds simple forms of learning and whether the neural mechanisms of complex learning can be unraveled by studying the honeybee brain. In addition to elemental forms of learning, in which bees learn specific and univocal links between events in their environment, bees also master different forms of nonelemental learning, including categorization, contextual learning, and rule abstraction, both in the visual and in the olfactory domain. Different protocols allow accessing the neural substrates of some of these learning forms and understanding how a complex problem can be solved by a relatively simple neural architecture. These results underline the enormous richness of experience-dependent behavior in honeybees, its high flexibility, and the fact that it is possible to formalize and characterize basic and higher-order cognitive processing in controlled laboratory protocols using an insect model."
"Honey bees solve a multi-comparison ranking task by probability matching","https://scispace.com/paper/honey-bees-solve-a-multi-comparison-ranking-task-by-fg22cnvq03","2020","Posted Content","bioRxiv","HaDi MaBouDi
James A. R. Marshall
Andrew B. Barron
Andrew B. Barron","10.1101/2020.03.02.967661","https://scispace.com/pdf/honey-bees-solve-a-multi-comparison-ranking-task-by-fg22cnvq03.pdf","- **Relevance Score:** 18/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Studies honeybee colour ranking and probability matching; provides per‑bee performance and neural model, but lacks same/different concept learning or abrupt rule‑acquisition evidence.","Honey bees forage on a range of flowers, all of which can vary unpredictably in the amount and type of rewards they offer. In this environment bees are challenged with maximising the resources they gather for their colony. That bees are effective foragers is clear, but how bees solve this type of complex multi-choice task is unknown. Here we challenged bees with a five-comparison choice task in which five colours differed in their probability of offering reward and punishment. The colours were ranked such that high ranked colours were more likely to offer reward, and the ranking was unambiguous. Bees choices in unrewarded tests matched their individual experiences of reward and punishment of each colour, indicating bees solved this test not by comparing or ranking colours but by matching their preferences to their history of reinforcement for each colour. We used a computational model to explore the feasibility of this probability matching strategy for the honey bee brain. The model suggested a structure like the honey bee mushroom body with reinforcement-related plasticity at both input and output was sufficient for this cognitive strategy. We discuss how probability matching enables effective choices to be made without a need to compare any stimuli directly, and the utility and limitations of this simple cognitive strategy for foraging animals."
"… of cognitive specialization in an insect: proficiency is maintained across elemental and higher-order visual learning but not between sensory modalities in honey bees","https://scispace.com/paper/1tL5IsMWSVsJ","","","","V Finke
D Baracchi
M Giurfa","","https://hal.science/hal-03453399/file/JEXBIO-2021-242470v2-Avargues-Weber.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to test visual learning across modalities; provides detailed apparatus description and individual performance curves, but does not address same/different concepts, transfer, or neural mechanisms.",""
"Apprentissages visuels chez l'abeille Apis mellifera : de la généralisation à l'extraction de règles","https://scispace.com/paper/apprentissages-visuels-chez-l-abeille-apis-mellifera-de-la-yo6snvm0s3","2007","Dissertation","","Julie Benard","","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to study color/generalization, categorization, and pattern tasks; provides individual performance data and mentions L‑photoreceptor role; lacks same/different concept, transfer tests, abrupt learning jumps, and cross‑species comparison.","This work presents different kind of visual learning with increasing cognitive requirements in free-flying honeybees Apis mellifera, from color generalization to rules extraction We first study color generalization in bees trained to two rewarding colors, and we observe that their performances are consistent with a linear summation of the two generalization gradients generated by two trained colors These gradients are asymmetric as control bees respond to the test stimuli as if these belong to different similarity classes in spite of having similar perceptual distances separating them Our results suggest that color categories could exist in honeybees Therefore, in a second study we show that bees can master a color categorization task Bees treat bluish and yellowish stimuli as belonging to different classes In a third study, we show that bees trained with complex achromatic patterns sharing a common layout comprising four edge orientations remember these orientations simultaneously in their appropriate positions Moreover, we show that bees can use this kind of representation to categorize novel stimuli, and that stimulation of the achromatic L-photoreceptor is necessary for this task In the last study, we asked whether bees could solve a transitive inference problem We find that bees do not establish transitive inferences but, rather, guide their choices by the joint action of a recency effect and the associative strength of the stimuli This all work contributes to a better comprehension of the visual cognitive abilities in insects and to determine precisely the abilities of the small bee brain to situate cognitive research into an appropriate comparative frame"
"Behavioral and neural analysis of associative learning in the honeybee: a taste from the magic well","https://scispace.com/paper/behavioral-and-neural-analysis-of-associative-learning-in-1t8d0r99r5","2007","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","Martin Giurfa","10.1007/S00359-007-0235-9","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on honeybee learning and neural substrates, detailing experimental protocols, but does not address same/different rule transfer, individual trial data, or cross‑species comparisons.","Equipped with a mini brain smaller than one cubic millimeter and containing only 950,000 neurons, honeybees could be indeed considered as having rather limited cognitive abilities. However, bees display a rich and interesting behavioral repertoire, in which learning and memory play a fundamental role in the framework of foraging activities. We focus on the question of whether adaptive behavior in honeybees exceeds simple forms of learning and whether the neural mechanisms of complex learning can be unraveled by studying the honeybee brain. Besides elemental forms of learning, in which bees learn specific and univocal links between events in their environment, bees also master different forms of non-elemental learning, including categorization, contextual learning and rule abstraction, both in the visual and in the olfactory domain. Different protocols allow accessing the neural substrates of some of these learning forms and understanding how complex problem solving can be achieved by a relatively simple neural architecture. These results underline the enormous richness of experience-dependent behavior in honeybees, its high flexibility, and the fact that it is possible to formalize and characterize in controlled laboratory protocols basic and higher-order cognitive processing using an insect as a model."
"Abilities of honey bees Apis mellifera Linnaeus, 1758 and paper wasps Vespula spp. (Hymenoptera: Apidae, Vespidae) to situational learning","https://scispace.com/paper/abilities-of-honey-bees-apis-mellifera-linnaeus-1758-and-opxwthzvf6","2015","Journal Article","","V.M. Kartsev
O.V. Ryzhkova
Y.A. Terehov","10.23885/1814-3326-2015-11-1-91-97","https://scispace.com/pdf/abilities-of-honey-bees-apis-mellifera-linnaeus-1758-and-opxwthzvf6.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses free‑flying field training on a small table to test situational learning in honeybees and paper wasps; does not address same/different concepts, transfer, or individual trial data.","In field experiments, an insect was trained to choose one of two visually different figures – A or B – in reference to situation (“situational learning”). Bees and wasps were shown to be able: 1) to choose A and to reject B at one location (place) of presentation of test figures and vice versa at the other location (at a distance of 1–8 m); 2) to choose A and to reject B at C-colored background and vice versa at D-colored background (at constant location). It is the first evidence of bees’ ability to make decisions depending on background color and the first evidence of wasps’ ability to perform situational learning. The described behaviors resemble “conditioned switching”, which is well known in vertebrates. Statistically significant individual differences between conspecifics have been recorded. Резюме. В полевых экспериментах насекомое обучали выбирать одну из двух визуально различных фигур – A или B – в зависимости от ситуации (ситуационное обучение). Показано, что пчелы и осы способны: 1) выбирать A и отвергать B, если фигуры предъявляют на одном локальном участке фуражировочной территории, и, наоборот, выбирать B и отвергать A на другом участке, отстоящем от первого на 1–8 м; 2) выбирать A и отвергать B на фоне цвета C, а на фоне цвета D – наоборот. Способность пчел принимать решение в зависимости от цвета фона и способность ос к ситуационному обучению доказаны впервые. Описанные поведенческие события похожи на условнорефлекторное переключение, хорошо известное у позвоночных. Отмечены статистически достоверные индивидуальные различия среди изученных особей. Introduction This issue is dedicated to the memory of Professor G.M. Dlussky, who is well known as a distinguished myrmecologist. However, his scientific interests covered widespread field of problems. He dealt not only with ants but also with many Hymenoptera and other insects including their ecology and behavior, especially foraging behavior of anthophilous insects [e.g., Dlussky, 2002, 2013]. The last PhD thesis study (of Sergey Lysenkov) supervised by Dlussky was aimed at insect pollinating activity investigation (V. Kartsev had the pleasure to act as opponent at the defence of this interesting work; the main results are published in: Lysenkov, [2009a, b]). It is foraging that requires the most complicated behavior and decision-making to obtain food under irregular conditions. During foraging, many animals demonstrate well developed individual learning and even intelligence – ability to perform abstract mental operations. Regarding non-human animals, now it is called “cognition”. Professor G.A. Mazokhin-Porshnyakov provided the first evidence of insects’ intelligent behavior about 50 years ago; namely “generalization of visual stimuli” (discrimination of rewarded and unrewarded feeders different in special abstract characters) [Mazokhin-Porshnyakov, 1968;characters) [Mazokhin-Porshnyakov, 1968; Mazochin, 1969]. Since that moment, the honeybee has been serving as a model for investigation of cognition in insects. We also added paper wasps as an object of cognitive"
"Categorization of visual stimuli in the honeybee Apis mellifera","https://scispace.com/paper/categorization-of-visual-stimuli-in-the-honeybee-apis-7sckrx57e3","2006","Journal Article","Animal Cognition","Julie Benard
Silke Stach
Martin Giurfa","10.1007/S10071-006-0032-9","https://scispace.com/pdf/categorization-of-visual-stimuli-in-the-honeybee-apis-7sckrx57e3.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee visual categorization experiments; provides detailed stimulus randomization and training procedures, but does not address same/different concepts, transfer, individual trial data, or neural mechanisms.","Categorization refers to the classification of perceptual input into defined functional groups. We present and discuss evidence suggesting that stimulus categorization can also be found in an invertebrate, the honeybee Apis mellifera, thus underlining the generality across species of this cognitive process. Honeybees show positive transfer of appropriate responding from a trained to a novel set of visual stimuli. Such a transfer was demonstrated for specific isolated features such as symmetry or orientation, but also for assemblies (layouts) of features. Although transfer from training to novel stimuli can be achieved by stimulus generalization of the training stimuli, most of these transfer tests involved clearly distinguishable stimuli for which generalization would be reduced. Though in most cases specific experimental controls such as stimulus balance and discriminability are still required, it seems appropriate to characterize the performance of honeybees as reflecting categorization. Further experiments should address the issue of which categorization theory accounts better for the visual performances of honeybees."
"Specializations in Honey Bee Learning","https://scispace.com/paper/specializations-in-honey-bee-learning-3g0p9axocn","2018","Book Chapter","","James L. Gould","10.4324/9780429498701-2","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on honeybee memory specializations, confirming species relevance; lacks same/different concept tasks, transfer tests, individual trial data, or neural/mechanistic discussion.","Honey bees display a number of cognitive specializations that suggest the existence of multiple memory systems One handles flower-pattern learning, which is accomplished on a forager’s approach to a flozoer and is stored pictorially at relatively low resolution A second specialized system deals with learning landmarks, which
 are used to triangulate the location of floral targets; this learning seems to occur during the departure phase of foraging and is stored pictorially at a higher resolution than flower-pattern memory Another specialization of honey bee memory serves to index floral information temporally: foragers learn hozo to harvest individual flozoers, and store that information (along with flozoer recognition) according to time of day These specializations, along with others also described, seem well adapted to the needs of a flozoer-constant nectar-foraging insect"
"The proboscis extension reflex to evaluate learning and memory in honeybees ( Apis mellifera ): some caveats","https://scispace.com/paper/the-proboscis-extension-reflex-to-evaluate-learning-and-59b3e6me1v","2012","Journal Article","Naturwissenschaften","Elisabeth H. Frost
Dave Shutler
Neil Kirk Hillier","10.1007/S00114-012-0955-8","https://scispace.com/pdf/the-proboscis-extension-reflex-to-evaluate-learning-and-59b3e6me1v.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews PER methods in honeybees; no same/different concept learning, transfer tests, or individual trial data, but includes some methodological and neural discussion.","The proboscis extension reflex (PER) is widely used in a classical conditioning (Pavlovian) context to evaluate learning and memory of a variety of insect species. The literature is particularly prodigious for honeybees (Apis mellifera) with more than a thousand publications. Imagination appears to be the only limit to the types of challenges to which researchers subject honeybees, including all the sensory modalities and a broad diversity of environmental treatments. Accordingly, some remarkable insights have been achieved using PER. However, there are several challenges to evaluating the PER literature that warrant a careful and thorough review. We assess here variation in methods that makes interpretation of studies, even those researching the same question, tenuous. We suggest that the numerous variables that might influence experimental outcomes from PER be thoroughly detailed by researchers. Moreover, the influence of individual variables on results needs to carefully evaluated, as well as among two or more variables. Our intent is to encourage investigation of the influence of numerous variables on PER results."
"Transfer of Visual Learning Between a Virtual and a Real Environment in Honey Bees: The Role of Active Vision.","https://scispace.com/paper/transfer-of-visual-learning-between-a-virtual-and-a-real-4t6y5368vp","2018","Journal Article","Frontiers in Behavioral Neuroscience","Alexis Buatois
Clara Flumian
Patrick Schultheiss
Aurore Avarguès-Weber
Martin Giurfa","10.3389/FNBEH.2018.00139","https://scispace.com/pdf/transfer-of-visual-learning-between-a-virtual-and-a-real-4t6y5368vp.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees as subjects; details virtual‑real visual transfer setup, but lacks same/different abstract rule learning, individual trial data, or neural/comparative analysis. Provides thorough apparatus description.","To study visual learning in honey bees, we developed a virtual reality (VR) system in which the movements of a tethered bee walking stationary on a spherical treadmill update the visual panorama presented in front of it (closed-loop conditions), thus creating an experience of immersion within a virtual environment. In parallel, we developed a small Y-maze with interchangeable end-boxes, which allowed replacing repeatedly a freely walking bee into the starting point of the maze for repeated decision recording. Using conditioning and transfer experiments between the VR setup and the Y-maze, we studied the extent to which movement freedom and active vision are crucial for learning a simple color discrimination. Approximately 57% of the bees learned the visual discrimination in both conditions. Transfer from VR to the maze improved significantly the bees’ performances: 75% of bees having chosen the CS+ continued doing so and 100% of bees having chosen the CS- reverted their choice in favor of the CS+. In contrast, no improvement was seen for these two groups of bees during the reciprocal transfer from the Y-maze to VR. In this case, bees exhibited inconsistent choices in the VR setup. The asymmetric transfer between contexts indicates that the information learned in each environment may be different despite the similar learning success. Moreover, it shows that reducing the possibility of active vision and movement freedom in the passage from the maze to the VR impairs the expression of visual learning while increasing them in the reciprocal transfer improves it. Our results underline the active nature of visual processing in bees and allow discussing the developments required for immersive VR experiences in insects."
"High-speed videography reveals how honeybees can turn a spatial concept learning task into a simple discrimination task by stereotyped flight movements and …","https://scispace.com/paper/HL36s0TC4f4J","","","","M Guiraud
M Roper
L Chittka","","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2018.01347/pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees; reports per‑bee performance (90% for one individual) and transfer tests; details high‑speed video setup; lacks same/different abstract rule or neural data.",""
"The mysterious cognitive abilities of bees: why models of visual processing need to consider experience and individual differences in animal performance","https://scispace.com/paper/the-mysterious-cognitive-abilities-of-bees-why-models-of-1gln6jmef6","2012","Journal Article","The Journal of Experimental Biology","Adrian G. Dyer","10.1242/JEB.038190","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on honeybee cognition and rule learning, but provides no original same/different experiments or individual trial data.","Vision is one of the most important modalities for the remote perception of biologically important stimuli. Insects like honeybees and bumblebees use their colour and spatial vision to solve tasks, such as navigation, or to recognise rewarding flowers during foraging. Bee vision is one of the most intensively studied animal visual systems, and several models have been developed to describe its function. These models have largely assumed that bee vision is determined by mechanistic hard-wired circuits, with little or no consideration for behavioural plasticity or cognitive factors. However, recent work on both bee colour vision and spatial vision suggests that cognitive factors are indeed a very significant factor in determining what a bee sees. Individual bumblebees trade-off speed for accuracy, and will decide on which criteria to prioritise depending upon contextual information. With continued visual experience, honeybees can learn to use non-elemental processing, including configural mechanisms and rule learning, and can access top-down information to enhance learning of sophisticated, novel visual tasks. Honeybees can learn delayed-matching-to-sample tasks and the rules governing this decision making, and even transfer learned rules between different sensory modalities. Finally, bees can learn complex categorisation tasks and display numerical processing abilities for numbers up to and including four. Taken together, this evidence suggests that bees do have a capacity for sophisticated visual behaviours that fit a definition for cognition, and thus simple elemental models of bee vision need to take account of how a variety of factors may influence the type of results one may gain from animal behaviour experiments."
"Bimodal Patterning Discrimination in Harnessed Honey Bees.","https://scispace.com/paper/bimodal-patterning-discrimination-in-harnessed-honey-bees-4t2d38uzai","2018","Journal Article","Frontiers in Psychology","Breno E. Mansur
Jean R. V. Rodrigues
Theo Mota","10.3389/FPSYG.2018.01529","https://scispace.com/pdf/bimodal-patterning-discrimination-in-harnessed-honey-bees-4t2d38uzai.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Studies bimodal pattern discrimination in harnessed honeybees with detailed methods; lacks same/different concept learning, transfer tests, and abstract rule analysis.","In natural environments, stimuli and events learned by animals usually occur in a combination of more than one sensory modality. An important problem in experimental psychology has been thus to understand how organisms learn about multimodal compounds and how they discriminate this compounds from their unimodal constituents. Here we tested the ability of honey bees to learn bimodal patterning discriminations in which a visual-olfactory compound (AB) should be differentiated from its visual (A) and olfactory (B) elements. We found that harnessed bees trained in classical conditioning of the proboscis extension reflex (PER) are able to solve bimodal positive and negative patterning tasks. In positive patterning (PP), bees learned to respond significantly more to a bimodal reinforced compound (AB+) than to non-reinforced presentations of single visual (A-) or olfactory (B-) elements. In negative patterning (NP), bees learned to suppress their responses to a non-reinforced compound (AB-) and increase their responses to reinforced presentations of visual (A+) or olfactory (B+) elements alone. We compared the effect of two different inter-trial intervals (ITI) in our conditioning approaches. Whereas an ITI of 8min allowed solving both PP and NP, only PP could be solved with a shorter ITI of 3min. In all successful cases of bimodal PP and NP, bees were still able to discriminate between reinforced and non-reinforced stimuli in memory tests performed one hour after conditioning. The analysis of individual performances in PP and NP revealed that different learning strategies emerged in distinct individuals. As previously found in different animal models, NP solving appeared to be more difficult for bees than PP solving in this new bimodal paradigm. We discuss our results in light of elemental and configural learning theories that may support the strategies adopted by honey bees to solve bimodal positive or negative patterning discriminations."
"Associative learning in honey bees","https://scispace.com/paper/associative-learning-in-honey-bees-52f1fouiar","1993","Journal Article","Apidologie","Randolf Menzel","10.1051/APIDO:19930301","https://scispace.com/pdf/associative-learning-in-honey-bees-52f1fouiar.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on classical associative conditioning in honeybees, providing species‑specific methods and some neural discussion, but lacks same/different concept learning, transfer tests, or individual‑level abstract rule data.","in spatial orientation and learning during dance communication, but the mechanisms of this kind of learning are little understood. In associative learning, stimuli experienced immediately before the reward (usually sucrose solution) are memorized for the guidance of future behavior. Well-established paradigms have been used to characterize operant and classical conditioning. The classical conditioning of olfactory stimuli is a very effective form of learning in bees and has helped to describe the behavioral and physiological basis of memory formation. It is concluded that memory needs time to be established and is processed in sequential phases. The neuronal compartments of the brain involved in the chemosensory pathway appear to participate differently in the sequential memory phases. A model is developed which assigns the strong non-associative components in olfactory conditioning to the antennal lobes, and the associative components to the mushroom bodies and the lateral output region of the protocerebrum. It is speculated that the amnesia-sensitive memory resides in the mushroom bodies and the amnesia-resistant memory in certain structures (eg the lateral protocerebrum) perhaps together with the mushroom bodies."
"Oddity learning in honeybees (Apis mellifera)","https://scispace.com/paper/7rmjinrtPQkJ","","","","NM Muszynski","","https://scholarspace.manoa.hawaii.edu/bitstreams/36e1e209-e3a6-4807-bde6-28211f8af26f/download","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees as subjects; focuses on oddity learning rather than same/different concepts, lacks individual transfer data, but details visual stimulus setup.",""
"Achieving arithmetic learning in honeybees and examining how individuals learn","https://scispace.com/paper/achieving-arithmetic-learning-in-honeybees-and-examining-how-1r07sqz2it","2019","Journal Article","Communicative & Integrative Biology","Scarlett R. Howard
Scarlett R. Howard
Aurore Avarguès-Weber
Jair E. Garcia
Andrew D. Greentree
Adrian G. Dyer
Adrian G. Dyer","10.1080/19420889.2019.1678452","","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to study arithmetic rule learning; provides individual performance curves and transfer tests to novel symbols, but does not address same/different concepts or neural mechanisms.","In recent years honeybees have demonstrated intriguing numerical capacities, leading to the recent discovery of their ability to perform simple arithmetic by learning to add or subtract 'one' using symbolic representations of operators. When training an insect with a miniature brain containing less than one million neurons to understand a conceptual rule, the procedure is of vital importance. We explain in detail the controls and process of designing an experiment to test for complex behaviors in a relatively simple brained animal. Furthermore, we will discuss the finding that individual honeybees do not demonstrate a consistent learning scenario when trained to perform the same tasks, rather they appear to acquire arithmetic rules through individual processes."
"Transfer from continuous to discrete quantities in honeybees","https://scispace.com/paper/transfer-from-continuous-to-discrete-quantities-in-honeybees-1fb9djfw6j","2023","Journal Article","iScience","M. Bortot
Giorgio Vallortigara","10.1016/j.isci.2023.108035","","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to test cross‑dimensional magnitude transfer; focuses on size‑to‑number generalization, not same/different concepts. Reports group‑level results, limited individual data, and basic visual stimulus setup.","Honeybees can estimate quantities having different dimensions: continuous and uncountable such as the relative size of visual objects in an array, or discrete and countable such as the number of objects of the array. Honeybees can transfer quantity discrimination (i.e., choosing the larger/smaller stimulus) from number to size. Here, we investigated whether honeybees could also generalize from the size (continuous) to the number (discrete) dimension. We trained free-flying foragers to discriminate between large- and small-size elements. At test, bees were presented with a comparison between larger and smaller numerosities controlled for different continuous variables covarying with numerosity such as total area, total perimeter, convex hull, and element size. Results showed that bees generalized from the size to the numerical dimension of the stimuli. This cross-dimensional transfer supports the idea of a universal mechanism for the encoding of abstract magnitudes in invertebrate species comparable to that of vertebrate species. "
"Individual consistency in the learning abilities of honey bees: cognitive specialization within sensory and reinforcement modalities","https://scispace.com/paper/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc","2023","Journal Article","Animal Cognition","Valerie Finke
Ricarda Scheiner
Martin Giurfa
Aurore Avarguès-Weber","10.1007/s10071-022-01741-2","https://scispace.com/pdf/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee colonies to examine individual learning consistency across tasks; reports per‑bee performance curves, discusses possible neural circuit specialization, but does not address same/different concept learning or transfer.","The question of whether individuals perform consistently across a variety of cognitive tasks is relevant for studies of comparative cognition. The honey bee (Apis mellifera) is an appropriate model to study cognitive consistency as its learning can be studied in multiple elemental and non-elemental learning tasks. We took advantage of this possibility and studied if the ability of honey bees to learn a simple discrimination correlates with their ability to solve two tasks of higher complexity, reversal learning and negative patterning. We performed four experiments in which we varied the sensory modality of the stimuli (visual or olfactory) and the type (Pavlovian or operant) and complexity (elemental or non-elemental) of conditioning to examine if stable correlated performances could be observed across experiments. Across all experiments, an individual's proficiency to learn the simple discrimination task was positively and significantly correlated with performance in both reversal learning and negative patterning, while the performances in reversal learning and negative patterning were positively, yet not significantly correlated. These results suggest that correlated performances across learning paradigms represent a distinct cognitive characteristic of bees. Further research is necessary to examine if individual cognitive consistency can be found in other insect species as a common characteristic of insect brains. "
"Cognition with few neurons: higher-order learning in insects","https://scispace.com/paper/cognition-with-few-neurons-higher-order-learning-in-insects-1p6vdkk11i","2013","Journal Article","Trends in Neurosciences","Martin Giurfa","10.1016/J.TINS.2012.12.011","https://www.researchgate.net/profile/Martin-Giurfa/publication/235396033_Cognition_with_few_neurons_Higher-order_learning_in_insects/links/5a263b34aca2727dd8810506/Cognition-with-few-neurons-Higher-order-learning-in-insects.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee experiments to explore attentional modulation and concept learning (above/below relation), providing neural discussion and stimulus details, but lacks same/different rule transfer or individual trial data.",""
"Exploration of the visual cognitive capacities of the bees","https://scispace.com/paper/E4FMBavSKA4J","","","","A Avarguès-Weber","","https://hal.science/tel-05023836/document","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to study visual learning transfer between virtual and real environments; provides methodological details on visual stimuli but lacks same/different concept testing, individual trial data, and neural or comparative analyses.",""
"Behavioral and genetic correlates of heterogeneity in learning performance in individual honeybees, Apis mellifera","https://scispace.com/paper/behavioral-and-genetic-correlates-of-heterogeneity-in-46ilq8ai6g","2024","Journal Article","PLOS ONE","Neloy Kumar Chakroborty
Leboulle
Ralf Einspanier
Randolf Menzel","10.1371/journal.pone.0304563","https://scispace.compdf/behavioral-and-genetic-correlates-of-heterogeneity-in-46ilq8ai6g.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee subjects to examine learning speed and gene expression; does not address same/different concepts or transfer. Provides some neural discussion via mushroom‑body gene analysis and details conditioning methods, but lacks individual trial data or abrupt learning jumps.","Learning an olfactory discrimination task leads to heterogeneous results in honeybees with some bees performing very well and others at low rates. Here we investigated this behavioral heterogeneity and asked whether it was associated with particular gene expression patterns in the bee's brain. Bees were individually conditioned using a sequential conditioning protocol involving several phases of olfactory learning and retention tests. A cumulative score was used to differentiate the tested bees into high and low performers. The rate of CS+ odor learning was found to correlate most strongly with a cumulative performance score extracted from all learning and retention tests. Microarray analysis of gene expression in the mushroom body area of the brains of these bees identified a number of differentially expressed genes between high and low performers. These genes are associated with diverse biological functions, such as neurotransmission, memory formation, cargo trafficking and development. "
"Even bees know zero is less than one","https://scispace.com/paper/even-bees-know-zero-is-less-than-one-2iusf3n11x","2019","Journal Article","Learning & Behavior","Sara Cordes","10.3758/S13420-018-0361-Y","https://scispace.com/pdf/even-bees-know-zero-is-less-than-one-2iusf3n11x.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybee experiments on zero vs. one to show ordinal reasoning; focuses on species but not same/different concepts, lacks individual transfer data, trial‑by‑trial metrics, or neural discussion; provides general methodological description.","Across three elegant experiments, Howard, Avargues-Weber, Garcia, Greentree, & Dyer (2018) demonstrate that honey bees spontaneously generalize an ordinal rule to empty sets, treating zero as less than other whole numbers. Their findings provide strong evidence that bees have a nonsymbolic concept of zero similar to that found in monkeys and human children, suggesting that this capacity may have important evolutionary significance."
